id,createdDate,modifiedDate,latitude,longitude,gymAddress,gymName
76,2025-08-10T20:06:38.631774,2025-08-10T20:06:38.631774,37.493807077575,127.028452355866,서울특별시 서초구 서초대로78길 44 (서초동", 나산스위트 지하1층),강남역2호점 스포애니 (주)케이디헬스케어
77,2025-08-10T20:06:38.635182,2025-08-10T20:06:38.635182,37.5020135169887,127.024071206653,서울특별시 서초구 서초대로73길 54 (서초동", 디오빌강남오피스텔 201호),핏바디스튜디오
78,2025-08-10T20:06:38.638387,2025-08-10T20:06:38.638387,37.501053933323,127.011632675025,서울특별시 서초구 서초중앙로 217 (반포동", 대동빌딩 지하1층),잼짐(GEM GYM)
79,2025-08-10T20:06:38.641127,2025-08-10T20:06:38.641127,37.4974284760361,127.019150618212,서울특별시 서초구 서초대로65길 13-10 (서초동", 서초래미안@상가동 207호),Lion GYM
80,2025-08-10T20:06:38.643267,2025-08-10T20:06:38.643267,37.4851770867507,126.983004858028,서울특별시 서초구 서초대로 6 (방배동", 구산빌딩 4층),파워슈로스 운동센터
81,2025-08-10T20:06:38.646098,2025-08-10T20:06:38.646098,37.4950009216382,127.013778147123,서울특별시 서초구 서초중앙로 148 (서초동", 지하2층", 지하3층),하이드파크
82,2025-08-10T20:06:38.648272,2025-08-10T20:06:38.648272,37.4952764993945,127.01808528391,서울특별시 서초구 서초대로 335 (서초동", 다동 5층),마이다스 스튜디오
83,2025-08-10T20:06:38.651007,2025-08-10T20:06:38.651007,37.4954931842039,127.018710910342,서울특별시 서초구 서초대로 341 (서초동", 지하1층", 지상2층),Training-Parc(트레이닝파크)
84,2025-08-10T20:06:38.654218,2025-08-10T20:06:38.654218,37.4867629041126,126.982679310439,서울특별시 서초구 동작대로 114 (방배동", 유문빌딩 지하1층),이수역점 스포애니 (주)케이디헬스케어
85,2025-08-10T20:06:38.656393,2025-08-10T20:06:38.656393,37.4879304099777,127.012481502204,서울특별시 서초구 사임당로 21 (서초동", 지하1층),인타임 피트니스
86,2025-08-10T20:06:38.659081,2025-08-10T20:06:38.659081,37.4987206250178,126.998930642785,서울특별시 서초구 서래로8길 7 (반포동", 포도빌딩 지하1층),크로스핏 제니아
87,2025-08-10T20:06:38.661229,2025-08-10T20:06:38.661229,37.5032072803982,127.023519915144,서울특별시 서초구 사평대로56길 7 (서초동", 한일유앤아이주상복합 지하2층),헬스보이짐 신논현점
88,2025-08-10T20:06:38.664373,2025-08-10T20:06:38.664373,37.4826401351447,127.04032204397,서울특별시 서초구 강남대로30길 57 (양재동", 2층),달라짐(Dalla GYM) PT studio
89,2025-08-10T20:06:38.667587,2025-08-10T20:06:38.667587,37.4947738327371,126.994724058312,서울특별시 서초구 동광로27길 20 (방배동", 지층),피트니스 스퀘어
90,2025-08-10T20:06:40.823335,2025-08-10T20:06:40.823335,37.4936455498871,126.993857605338,서울특별시 서초구 동광로 106 (방배동", 2층),로얄바디짐
91,2025-08-10T20:06:40.825381,2025-08-10T20:06:40.825381,37.5115409433608,127.020640675895,서울특별시 서초구 강남대로 557 (잠원동", 성한빌딩 지하2층),휘트니스피플 우먼 논현점
92,2025-08-10T20:06:40.826695,2025-08-10T20:06:40.826695,37.4849988436868,126.984130819637,서울특별시 서초구 방배천로24길 11 (방배동", 명림빌딩 지하2층),9's(나인스) PT STUDIO
93,2025-08-10T20:06:40.829543,2025-08-10T20:06:40.829543,37.4977812944037,126.99707185707,서울특별시 서초구 서래로5길 19", 3층 (반포동", 나눔케어빌딩),나눔케어 피트니스
94,2025-08-10T20:06:40.833139,2025-08-10T20:06:40.833139,37.4827666361943,127.034949554107,서울특별시 서초구 강남대로 213 (양재동", 스포타임3층),하이폭시코리아
95,2025-08-10T20:06:40.836539,2025-08-10T20:06:40.836539,37.4784575897588,127.000947079743,서울특별시 서초구 효령로34길 76", 동림빌딩 2층 201호 (방배동),더쉐이프
96,2025-08-10T20:06:40.839477,2025-08-10T20:06:40.839477,37.4851294931638,127.015844898549,서울특별시 서초구 효령로 289 (서초동", 3층),클래스짐
97,2025-08-10T20:06:40.842361,2025-08-10T20:06:40.842361,37.4968579628044,126.998032096864,서울특별시 서초구 서래로3길 3 (반포동", 3층),Gym 360+
98,2025-08-10T20:06:40.845070,2025-08-10T20:06:40.845070,37.4836255569436,126.996769169442,서울특별시 서초구 효령로33길 55 (방배동", 2층),주식회사 힐링스짐
99,2025-08-10T20:06:40.847792,2025-08-10T20:06:40.847792,37.49912839242,126.997212599411,서울특별시 서초구 사평대로20길 3 (반포동", 신화빌딩 1층),코어핏(Corefit)
100,2025-08-10T20:06:40.849996,2025-08-10T20:06:40.849996,37.5010250774878,127.009916172818,서울특별시 서초구 서초중앙로33길 20 (반포동", 2층),TenTen Fitness
