업종,신고번호,상호,시설주소(지번),시설주소(도로명),시설면적(제곱미터),최초등록일자,최근변경일자
체력단련장업,30106-2020-000012,다이아몬드짐 헬스,서울특별시 서초구 서초동 1678-1 서초동 동아빌라트 ,"서울특별시 서초구 서초대로 346, 지하1층 102호 (서초동, 서초동 동아빌라트)",373.03,2020-07-01,
체력단련장업,30106-2020-000013,반포휘트니스사우나,서울특별시 서초구 반포동 724-38 ,"서울특별시 서초구 강남대로85길 16, 1층 (반포동)",,2020-07-07,
체력단련장업,30106-2020-000014,교대역점 스포애니(주)케이디헬스케어,서울특별시 서초구 서초동 1671-2 ,"서울특별시 서초구 서초중앙로22길 17, 지하1층 (서초동)",,2020-07-07,2024-03-15
체력단련장업,30106-2020-000016,테라피티,서울특별시 서초구 양재동 20-34 성문빌딩 ,"서울특별시 서초구 바우뫼로 177, 성문빌딩 지하층 (양재동)",240.3,2020-07-31,
체력단련장업,30106-2020-000017,에이제이짐,서울특별시 서초구 방배동 866-10 방배 마에스트로 ,"서울특별시 서초구 서초대로 13, 방배 마에스트로 204호 (방배동)",133.33,2020-08-12,
체력단련장업,30106-2020-000018,피디컬짐,서울특별시 서초구 방배동 17-1 ,"서울특별시 서초구 방배로42길 19, 지층 (방배동)",193.75,2020-08-24,
체력단련장업,30106-2020-000019,핏플즈,서울특별시 서초구 반포동 49-10 ,"서울특별시 서초구 서초중앙로31길 14-11, 1층 (반포동)",72.21,2020-10-12,
체력단련장업,30106-2020-000020,S&C physical center,서울특별시 서초구 방배동 807-22 ,"서울특별시 서초구 동광로22길 7, 102동 b01호 (방배동)",149.01,2020-10-27,
체력단련장업,30106-2020-000021,위크로스핏,서울특별시 서초구 서초동 1575-2 서용빌딩 ,"서울특별시 서초구 서초중앙로 115, 서용빌딩 지층 (서초동)",175.2,2020-11-04,
체력단련장업,30106-2020-000022,GOTO 서브 반포점,서울특별시 서초구 잠원동 103 반포역 ,"서울특별시 서초구 신반포로 지하 241, 반포역 지하층 (잠원동)",,2020-11-27,
체력단련장업,30106-2020-000023,피치짐,서울특별시 서초구 서초동 1514-7 서초 에스테온 ,"서울특별시 서초구 명달로20길 21, 1층 (서초동, 서초 에스테온)",115.5,2020-12-02,
체력단련장업,30106-2020-000024,피지오플러스피티,서울특별시 서초구 서초동 1303-35 강남태영데시앙루브 205호,"서울특별시 서초구 강남대로 455, 205호 (서초동, 강남태영데시앙루브)",60,2020-12-02,2023-02-28
체력단련장업,30106-2021-000002,바디어필 PT 스튜디오,서울특별시 서초구 방배동 1021-14 ,"서울특별시 서초구 방배로6길 13, 지하1층 (방배동)",271,2021-01-21,
체력단련장업,30106-2021-000003,더짐 주식회사,서울특별시 서초구 서초동 1327-15 스타크 강남빌딩 ,"서울특별시 서초구 강남대로53길 8, 스타크 강남빌딩 (서초동)",,2021-02-15,
체력단련장업,30106-2021-000004,HANT,"서울특별시 서초구 서초동 1498-5 마제스타시티, 힐스테이트 서리풀 ","서울특별시 서초구 서초대로38길 12, b115동 116호 (서초동, 마제스타시티, 힐스테이트 서리풀)",,2021-02-23,
체력단련장업,30106-2021-000005,더바디코치,서울특별시 서초구 잠원동 69-12 반포쇼핑타운 ,"서울특별시 서초구 신반포로 205, 반포쇼핑타운 6동 5층 4,5호 (잠원동)",,2021-02-24,
체력단련장업,30106-2021-000006,라겟옴,서울특별시 서초구 서초동 1624-7 ,"서울특별시 서초구 서초중앙로 70, 동명빌딩 3층 (서초동)",,2021-02-24,
체력단련장업,30106-2021-000007,김민철 트레이닝,서울특별시 서초구 반포동 49-7 그랑반포 ,"서울특별시 서초구 서초중앙로31길 18, 그랑반포 4층 (반포동)",,2021-03-04,
체력단련장업,30106-2021-000008,마커스 그래비티,서울특별시 서초구 방배동 851-16 ,"서울특별시 서초구 서초대로25길 51, 지하1층 (방배동)",,2021-03-17,2024-01-17
체력단련장업,30106-2021-000009,빌리프짐 양재역점,서울특별시 서초구 서초동 1364-42 유진빌딩 ,"서울특별시 서초구 남부순환로347길 23, 유진빌딩 지하1층 (서초동)",470,2021-04-13,
체력단련장업,30106-2021-000010,바른다짐 퍼스널 트레이닝,서울특별시 서초구 서초동 1311-7 삼호종합상가 ,"서울특별시 서초구 서운로 207, 삼호종합상가 223호 (서초동)",48.65,2021-04-16,
체력단련장업,30106-2021-000011,짐파서블,서울특별시 서초구 서초동 1550-1 ,"서울특별시 서초구 서초대로42길 41, 지하1층 (서초동)",243,2021-04-16,2024-02-13
체력단련장업,30106-2021-000012,타임 투 짐(TIME TO GYM),서울특별시 서초구 서초동 1628-27 ,"서울특별시 서초구 사임당로14길 7, 1층 (서초동)",66,2021-04-29,
체력단련장업,30106-2021-000013,바른밸런스 PT STUDIO,서울특별시 서초구 서초동 1490-49 한진빌딩 ,"서울특별시 서초구 효령로 165, 한진빌딩 2층 (서초동)",211,2021-05-07,
체력단련장업,30106-2021-000014,로그짐 강남역점,서울특별시 서초구 서초동 1317-14 ,"서울특별시 서초구 서초대로77길 5, 진영빌딩 13층 (서초동)",92.94,2021-05-12,
체력단련장업,30106-2021-000015,슬릭 교대캠프,서울특별시 서초구 서초동 1713-3 ,"서울특별시 서초구 법원로2길 17-5, 백영빌딩 지하1층 (서초동)",276.87,2021-05-13,
체력단련장업,30106-2021-000016,바디스펙트럼2,서울특별시 서초구 서초동 1330-20 강남애니타워 ,"서울특별시 서초구 강남대로53길 7, 강남애니타워 3층 301호 (서초동)",115.36,2021-05-18,2024-03-05
체력단련장업,30106-2021-000017,서래마을 체육관,서울특별시 서초구 방배동 797-8 테라스빌딩 ,"서울특별시 서초구 동광로 93, 테라스빌딩 4층 (방배동)",210.66,2021-06-15,2021-06-30
체력단련장업,30106-2021-000018,네이처바이트 주식회사,서울특별시 서초구 우면동 671 하이디하우스 ,"서울특별시 서초구 성촌4길 11, 하이디하우스 지하1층, 지상4층 (우면동)",1270,2021-06-24,
체력단련장업,30106-2021-000019,헬링짐,서울특별시 서초구 잠원동 14-16 금산빌딩 ,"서울특별시 서초구 나루터로 75, 금산빌딩 지하1층 (잠원동)",476,2021-06-30,2023-09-05
체력단련장업,30106-2021-000020,비바라짐 내방점,서울특별시 서초구 방배동 898-1 ,"서울특별시 서초구 서초대로 108, 3층 301호 (방배동)",255.37,2021-08-03,
체력단련장업,30106-2021-000021,로그짐 서초우성점,서울특별시 서초구 서초동 1337-17 보원빌딩 ,"서울특별시 서초구 사임당로 180, 보원빌딩 1층 (서초동)",189.35,2021-08-24,
체력단련장업,30106-2021-000022,PT MATE,서울특별시 서초구 반포동 58-7 삼공빌딩 ,"서울특별시 서초구 고무래로 6-3, 삼공빌딩 지층 201호 (반포동)",115.59,2021-08-26,2022-02-04
체력단련장업,30106-2021-000023,교대PT,서울특별시 서초구 서초동 1628-10 URBANTREE(어반트리) ,"서울특별시 서초구 사임당로 80, URBANTREE(어반트리) 204호 (서초동)",39.61,2021-08-27,
체력단련장업,30106-2021-000024,짐에브리원,서울특별시 서초구 방배동 3001-2 방배디오슈페리움1 ,"서울특별시 서초구 서초대로 3-4, 413-1호 (방배동, 방배디오슈페리움1)",110.23,2021-09-08,
체력단련장업,30106-2021-000025,주식회사 글로리어스,서울특별시 서초구 잠원동 41-11 삼덕빌딩 ,"서울특별시 서초구 신반포로 315, 삼덕빌딩 지층 (잠원동)",322,2021-09-30,2022-11-04
체력단련장업,30106-2021-000027,윤형준 트레이닝센터,서울특별시 서초구 방배동 1020-2 대영빌딩 ,"서울특별시 서초구 방배로6길 10-15, 대영빌딩 (방배동)",299,2021-11-11,
체력단련장업,30106-2021-000028,전자서울 R&D 피트니스센터,서울특별시 서초구 우면동 678 (주)삼성전자 서울R&D캠퍼스 ,서울특별시 서초구 성촌길 56 (주)삼성전자 서울R&D캠퍼스 (우면동),3821,2021-11-12,2023-11-10
체력단련장업,30106-2021-000029,알앤디피티,서울특별시 서초구 우면동 687 우면삼성프라자-2 ,"서울특별시 서초구 성촌1길 12, 우면삼성프라자-2 401호 (우면동)",96,2021-11-18,
체력단련장업,30106-2021-000030,닥터 펠리체 짐,서울특별시 서초구 방배동 445-4 ,"서울특별시 서초구 방배천로 5-1, 8층 (방배동)",293,2021-11-18,
체력단련장업,30106-2021-000031,서리풀PT,서울특별시 서초구 방배동 908-6 ,"서울특별시 서초구 방배로 92, 2층 (방배동)",128,2021-11-23,
